feature,base_value,permuted_value,abs_diff
mf_stat_num_std_mean,159.76657880936227,159.76657880936224,2.842170943040401e-14
mf_stat_num_mean_abs,132.89587952394209,132.8958795239421,2.842170943040401e-14
mf_stat_num_kurt_mean,68.45419113491977,68.45419113491975,1.4210854715202004e-14
mf_stat_num_skew_abs_mean,3.7696541385283275,3.769654138528328,4.440892098500626e-16
mf_basic_n_categorical,22.0,22.0,0.0
mf_basic_missing_ratio,0.6498358926268901,0.6498358926268901,0.0
mf_basic_n_samples,898.0,898.0,0.0
mf_basic_n_numeric,16.0,16.0,0.0
mf_basic_n_features,38.0,38.0,0.0
mf_basic_n_classes,5.0,5.0,0.0
mf_stat_abs_corr_mean,0.06522947242856618,0.06522947242856618,0.0
mf_stat_target_entropy,1.1898338561971844,1.1898338561971844,0.0
mf_struct_avg_cat_cardinality,1.7272727272727273,1.7272727272727273,0.0
mf_struct_cat_to_num_ratio,1.375,1.375,0.0
mf_struct_class_imbalance,85.5,85.5,0.0
mf_struct_mean_unique_ratio,0.006329855819950767,0.006329855819950767,0.0
mf_struct_samples_per_feature,23.63157894736842,23.63157894736842,0.0
mf_struct_zero_ratio_numeric,0.62896714922049,0.62896714922049,0.0
