dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_basic_n_samples,mf_basic_n_features,mf_basic_n_numeric,mf_basic_n_categorical,mf_basic_n_classes,mf_basic_missing_ratio,mf_stat_num_mean_abs,mf_stat_num_std_mean,mf_stat_num_skew_abs_mean,mf_stat_num_kurt_mean,mf_stat_abs_corr_mean,mf_stat_target_entropy,mf_struct_samples_per_feature,mf_struct_cat_to_num_ratio,mf_struct_class_imbalance,mf_struct_mean_unique_ratio,mf_struct_zero_ratio_numeric,mf_struct_avg_cat_cardinality
1,1,898,38,random_forest,898.0,38.0,16.0,22.0,5.0,0.6498358926268901,132.89587952394209,159.76657880936227,3.7696541385283275,68.45419113491977,0.06522947242856618,1.1898338561971844,23.63157894736842,1.375,85.5,0.006329855819950767,0.62896714922049,1.7272727272727273
4,labor,57,16,logreg,57.0,16.0,8.0,8.0,2.0,0.3574561403508772,9.483771929824561,1.583953040653945,1.5066606533785603,5.992983443176431,0.20221207678798828,0.9348490242317091,3.5625,1.0,1.85,0.10526315789473684,0.0021929824561403508,2.625
8,8,345,6,random_forest,345.0,6.0,6.0,0.0,2.0,0.0,42.80289855072463,15.827503400802174,1.818097328357022,6.571175730554462,0.26461024114983606,0.9815886212072535,57.5,0.0,1.3793103448275863,0.15845410628019327,0.004347826086956522,0.0
9,autos,205,25,random_forest,205.0,25.0,15.0,10.0,6.0,0.011512195121951221,1443.2520780487805,602.049849300882,0.9084644716490877,1.449646923925296,0.39268014961260433,2.2724740187743717,8.2,0.6666666666666666,22.333333333333332,0.19121951219512195,0.0,6.0
10,lymph,148,18,logreg,148.0,18.0,3.0,15.0,4.0,0.0,2.045045045045045,1.018402304933434,2.326489482053782,9.883463404163214,0.33952594829940724,1.2276775019408097,8.222222222222221,5.0,40.5,0.022147147147147148,0.0,2.933333333333333
11,balancescale,625,4,logreg,625.0,4.0,4.0,0.0,3.0,0.0,3.0,1.4153462926807447,0.0,-1.300798439249973,4.69313476969546e-16,1.318116246437254,156.25,0.0,5.877551020408164,0.008,0.0,0.0
13,breastcancer,286,9,random_forest,286.0,9.0,1.0,8.0,2.0,0.003496503496503497,2.0489510489510487,0.7382166403717156,0.0776607736647419,-1.1556182196286668,0.0,0.8778446951717653,31.77777777777778,8.0,2.364705882352941,0.01592851592851593,0.0,4.75
15,breastw,699,9,random_forest,699.0,9.0,9.0,0.0,2.0,0.002543315848036878,3.1292322365283742,2.7486440580617324,1.4814144044990618,1.6921570422725507,0.6007374893519858,0.9293179372469129,77.66666666666667,0.0,1.900414937759336,0.014147194404705136,0.0,0.0
17,17,105,12,random_forest,105.0,12.0,4.0,8.0,6.0,0.04841269841269843,859.5754761904761,179.0056744220816,0.9959898475128299,1.5072881808361664,0.2197705137834032,2.3176028118025194,8.75,2.0,4.4,0.2507936507936508,0.0,15.75
18,18,1200,6,knn,1200.0,6.0,6.0,0.0,10.0,0.0,1051.1337706918903,630.8419303340473,0.5485138467720005,-0.5838955090059978,0.5660730541241132,3.3219280948729355,200.0,0.0,1.0,0.47402777777777777,0.20152777777777778,0.0
19,19,105,12,random_forest,105.0,12.0,2.0,10.0,6.0,0.04841269841269843,14.117619047619048,7.37029335949498,0.815247696272728,0.33931737793201977,0.12947741803771187,2.3176028118025194,8.75,5.0,4.4,0.15158730158730158,0.0,13.3
21,21,1200,6,random_forest,1200.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2059989921821348,200.0,6.0,18.666666666666668,0.002916666666666667,0.0,3.5
23,cmc,1200,9,random_forest,1200.0,9.0,9.0,0.0,3.0,0.0,5.446851851851851,1.6971058664945569,1.1634691311973648,0.9615805557646083,0.17568893028362959,1.5387441771915427,133.33333333333334,0.0,1.8929889298892988,0.006574074074074074,0.15527777777777776,0.0
25,colic,368,27,random_forest,368.0,27.0,27.0,0.0,2.0,0.1939412238325282,40865.75193236715,57451.59515277776,2.104957504156835,18.26119589157931,0.12670677274575137,0.9503376699681414,13.62962962962963,0.0,1.7058823529411764,0.08121980676328502,0.07971014492753623,0.0
27,colic,368,22,logreg,368.0,22.0,7.0,15.0,2.0,0.2380187747035573,30.589751552795033,11.828042475655282,1.4246504933377522,4.451315831627668,0.12309467675060948,0.9503376699681414,16.727272727272727,2.142857142857143,1.7058823529411764,0.04878952569169961,0.0,3.6666666666666665
29,creditapproval,690,15,random_forest,690.0,15.0,6.0,9.0,2.0,0.006473429951690821,206.97401207729467,901.2234562442172,4.432816476116844,50.01940617216368,0.16611546592444967,0.991230898900467,46.0,1.5,1.247557003257329,0.11294685990338166,0.22004830917874396,4.444444444444445
31,creditg,1000,20,random_forest,1000.0,20.0,7.0,13.0,2.0,0.0,476.5838571428571,407.0476188282119,1.1500699623872632,0.9242775257980996,0.10248583374773611,0.8812908992278072,50.0,1.8571428571428572,2.3333333333333335,0.053750000000000006,0.0,4.153846153846154
33,33,540,39,random_forest,540.0,39.0,24.0,15.0,2.0,0.04743589743589744,831260.280729263,735.589396613836,1.6399637058395307,9.714208893336279,0.0847190417730317,0.9824740868357557,13.846153846153847,0.625,1.368421052631579,0.09178537511870846,0.08811728395061728,35.53333333333333
34,postoperativepatientdata,90,8,knn,90.0,8.0,1.0,7.0,3.0,0.004166666666666667,10.911111111111111,2.2716842459634,0.7592239884291848,0.5220196133038959,0.0,0.9803075405774828,11.25,7.0,32.0,0.03194444444444444,0.0,2.7142857142857144
