dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
1,1,898,38,random_forest,0.13611013891278026,0.6000093439660106,0.042316258351893093,1.375,0.21807602171257054,1.1898338562043977,13.998122359167201,0.2,23.63157894736842,1.7048436676848826,0.08499953248552582,38.0,16.0,22.0,5.0,898.0,16.0,6.05897228397325,0.7272727272727273
4,labor,57,16,logreg,0.06687947561922669,1.2532559539148487,0.2807017543859649,1.0,0.09358141210937612,0.9348490242345946,5.917708914336476,0.5,3.5625,2.0301301541479124,0.1579748240015308,16.0,0.0,8.0,2.0,57.0,8.0,6.933263808559169,1.0
8,8,345,6,random_forest,0.0377606525669939,2.7241240939050093,0.017391304347826087,0.0,0.007461110427981477,0.9815886212101388,31.84067589066796,0.5,57.5,3.6748845811716144,0.03082813394353316,6.0,0.0,0.0,2.0,345.0,6.0,87.36487148053445,0.0
9,autos,205,25,random_forest,0.1857624966373581,1.9138751955488145,0.12195121951219512,0.6666666666666666,0.12418524948612272,2.2724740187830283,7.033769700013919,0.16666666666666666,8.2,3.8632686877148665,0.3230805266169763,25.0,3.0,10.0,6.0,205.0,15.0,4.923833341456023,1.5
10,lymph,148,18,logreg,0.04660992677257273,1.1277241395099897,0.12162162162162163,5.0,0.15438509549808035,1.2276775019465804,8.727663156622746,0.24999999999999997,8.222222222222221,2.2147365539165005,0.1406650875400698,18.0,9.0,15.0,4.0,148.0,3.0,7.017086252398961,0.2
11,balancescale,625,4,logreg,-6.250002346150688e-08,2.3219280948873626,0.0064,0.0,0.04375591335433088,1.318116246441582,9.738297352507818,0.3333333333333333,156.25,3.5046904700382777,0.13535387129066656,4.0,0.0,0.0,3.0,625.0,4.0,16.154500811440574,0.0
13,breastcancer,286,9,random_forest,0.04572359176310521,1.5285459888009891,0.03146853146853147,8.0,0.02581437414512867,0.8778446951746506,25.27565803757724,0.5,31.77777777777778,2.3716598495154817,0.03473083446015774,9.0,2.0,8.0,2.0,286.0,1.0,43.01120826954202,0.125
15,breastw,699,9,random_forest,0.20575079829008613,1.838680443533674,0.012875536480686695,0.0,0.253030634806316,0.9293179372497983,1.8764875297157033,0.5,77.66666666666667,2.272755048476013,0.4952433323074597,9.0,0.0,0.0,2.0,699.0,9.0,2.712680865316879,0.0
17,17,105,12,random_forest,0.17209581854872924,1.8699788810395883,0.11428571428571428,2.0,0.25772717247592997,2.3176028118111756,4.233476902931691,0.16666666666666666,8.75,3.640135027863355,0.5474466649874082,12.0,0.0,8.0,6.0,105.0,4.0,2.415819294620417,0.5
18,18,1200,6,knn,0.25766475902752034,2.4704675970990846,0.005,0.0,0.4631281331200196,3.321928094887362,2.743009496743316,0.1,200.0,4.581343342794299,1.2110523491921472,6.0,0.0,0.0,10.0,1200.0,6.0,1.0399346062513741,0.0
19,19,105,12,random_forest,0.1701153506188817,1.8440527636767234,0.11428571428571428,5.0,0.24885857447345408,2.3176028118111756,4.383216335233725,0.16666666666666666,8.75,3.6329107829524427,0.5287447925354555,12.0,0.0,10.0,6.0,105.0,2.0,2.4876045867687075,0.2
21,21,1200,6,random_forest,0.0006723427593010565,1.7914999388304922,0.005,0.0,0.05510756521278489,1.2059989921879053,10.44728625922054,0.24999999999999997,200.0,2.8820623513876327,0.11543657963076466,6.0,0.0,6.0,4.0,1200.0,0.0,14.519343561293848,0.0
23,cmc,1200,9,random_forest,0.03302209046217054,1.5437435691372006,0.0075,0.0,0.021117119686902275,1.5387441771958712,43.44062652572128,0.3333333333333333,133.33333333333334,3.0470659695250237,0.03542177680804806,9.0,3.0,0.0,3.0,1200.0,9.0,42.5817654631727,0.0
25,colic,368,27,random_forest,0.03126050719498301,1.51959198061524,0.07336956521739131,0.0,0.035578875358522014,0.9503376699710266,16.721300503798414,0.5,13.62962962962963,2.413095693816269,0.05683395676999811,27.0,4.0,0.0,2.0,368.0,27.0,25.737395511012746,0.0
27,colic,368,22,logreg,0.04471441508230687,1.9215924799496953,0.059782608695652176,2.142857142857143,0.03466971785777964,0.9503376699710266,15.04332736988569,0.5,16.727272727272727,2.8087567809841754,0.06317336893654585,22.0,1.0,15.0,2.0,368.0,7.0,29.417761665992966,0.4666666666666667
29,creditapproval,690,15,random_forest,0.04028486179868648,1.8530592888927209,0.021739130434782608,1.5,0.06832394554748887,0.9912308989033523,10.320895688623688,0.5,46.0,2.748249017648801,0.09604117014727187,15.0,3.0,9.0,2.0,690.0,6.0,18.29442640121101,0.6666666666666666
