feature,base_value,permuted_value,abs_diff
mf_stat_num_std_mean,159.64469480434002,159.64469480434,2.842170943040401e-14
mf_stat_num_kurt_mean,52.914288217326614,52.91428821732659,2.1316282072803006e-14
mf_stat_num_skew_abs_mean,3.540208602603406,3.540208602603405,8.881784197001252e-16
mf_basic_missing_ratio,0.6492105263157895,0.6492105263157896,1.1102230246251565e-16
mf_stat_abs_corr_mean,0.06822068160491966,0.0682206816049197,4.163336342344337e-17
mf_struct_mean_unique_ratio,0.008596491228070179,0.008596491228070173,5.204170427930421e-18
mf_basic_n_categorical,22.0,22.0,0.0
mf_basic_n_numeric,16.0,16.0,0.0
mf_basic_n_samples,600.0,600.0,0.0
mf_basic_n_classes,5.0,5.0,0.0
mf_stat_num_mean_abs,133.35528177083333,133.35528177083333,0.0
mf_basic_n_features,38.0,38.0,0.0
mf_struct_avg_cat_cardinality,1.6818181818181819,1.6818181818181819,0.0
mf_stat_target_entropy,1.1886019963105314,1.1886019963105314,0.0
mf_struct_cat_to_num_ratio,1.375,1.375,0.0
mf_struct_class_imbalance,91.4,91.4,0.0
mf_struct_samples_per_feature,15.789473684210526,15.789473684210526,0.0
mf_struct_zero_ratio_numeric,0.6295833333333334,0.6295833333333334,0.0
