dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_basic_n_samples,mf_basic_n_features,mf_basic_n_numeric,mf_basic_n_categorical,mf_basic_n_classes,mf_basic_missing_ratio,mf_stat_num_mean_abs,mf_stat_num_std_mean,mf_stat_num_skew_abs_mean,mf_stat_num_kurt_mean,mf_stat_abs_corr_mean,mf_stat_target_entropy,mf_struct_samples_per_feature,mf_struct_cat_to_num_ratio,mf_struct_class_imbalance,mf_struct_mean_unique_ratio,mf_struct_zero_ratio_numeric,mf_struct_avg_cat_cardinality
1,1,600,38,random_forest,600.0,38.0,16.0,22.0,5.0,0.6492105263157895,133.35528177083333,159.64469480434002,3.540208602603406,52.914288217326614,0.06822068160491966,1.1886019963105314,15.789473684210526,1.375,91.4,0.008596491228070179,0.6295833333333334,1.6818181818181819
4,labor,57,16,logreg,57.0,16.0,8.0,8.0,2.0,0.3574561403508772,9.483771929824561,1.583953040653945,1.5066606533785603,5.992983443176431,0.20221207678798828,0.9348490242317091,3.5625,1.0,1.85,0.10526315789473684,0.0021929824561403508,2.625
8,8,345,6,random_forest,345.0,6.0,6.0,0.0,2.0,0.0,42.80289855072463,15.827503400802174,1.818097328357022,6.571175730554462,0.26461024114983606,0.9815886212072535,57.5,0.0,1.3793103448275863,0.15845410628019327,0.004347826086956522,0.0
9,autos,205,25,random_forest,205.0,25.0,15.0,10.0,6.0,0.011512195121951221,1443.2520780487805,602.049849300882,0.9084644716490877,1.449646923925296,0.39268014961260433,2.2724740187743717,8.2,0.6666666666666666,22.333333333333332,0.19121951219512195,0.0,6.0
10,lymph,148,18,logreg,148.0,18.0,3.0,15.0,4.0,0.0,2.045045045045045,1.018402304933434,2.326489482053782,9.883463404163214,0.33952594829940724,1.2276775019408097,8.222222222222221,5.0,40.5,0.022147147147147148,0.0,2.933333333333333
11,balancescale,600,4,knn,600.0,4.0,4.0,0.0,3.0,0.0,3.0004166666666667,1.4163953886360685,0.009886089366876339,-1.3012195961524269,0.006241670038514907,1.3179436803328048,150.0,0.0,5.8936170212765955,0.008333333333333333,0.0,0.0
13,breastcancer,286,9,random_forest,286.0,9.0,1.0,8.0,2.0,0.003496503496503497,2.0489510489510487,0.7382166403717156,0.0776607736647419,-1.1556182196286668,0.0,0.8778446951717653,31.77777777777778,8.0,2.364705882352941,0.01592851592851593,0.0,4.75
15,breastw,600,9,knn,600.0,9.0,9.0,0.0,2.0,0.0029629629629629632,3.146851851851852,2.76757402027545,1.4665393144022252,1.5857895575458596,0.6045888673767446,0.9295231861763411,66.66666666666667,0.0,1.8985507246376812,0.01648148148148148,0.0,0.0
17,17,105,12,random_forest,105.0,12.0,4.0,8.0,6.0,0.04841269841269843,859.5754761904761,179.0056744220816,0.9959898475128299,1.5072881808361664,0.2197705137834032,2.3176028118025194,8.75,2.0,4.4,0.2507936507936508,0.0,15.75
18,18,600,6,logreg,600.0,6.0,6.0,0.0,10.0,0.0,1051.5328643871417,630.5304324490636,0.5566196544466315,-0.6017976600147459,0.5695999117614272,3.3219280948729355,100.0,0.0,1.0,0.4922222222222223,0.20166666666666666,0.0
19,19,105,12,random_forest,105.0,12.0,2.0,10.0,6.0,0.04841269841269843,14.117619047619048,7.37029335949498,0.815247696272728,0.33931737793201977,0.12947741803771187,2.3176028118025194,8.75,5.0,4.4,0.15158730158730158,0.0,13.3
21,21,600,6,random_forest,600.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2081241799100289,100.0,6.0,18.26086956521739,0.005833333333333334,0.0,3.5
23,cmc,600,9,random_forest,600.0,9.0,9.0,0.0,3.0,0.0,5.508703703703704,1.7109157442483836,1.1546612997662864,0.9017196352345886,0.17781943414221424,1.539508010852564,66.66666666666667,0.0,1.8823529411764706,0.012962962962962963,0.15425925925925926,0.0
25,colic,368,27,random_forest,368.0,27.0,27.0,0.0,2.0,0.1939412238325282,40865.75193236715,57451.59515277776,2.104957504156835,18.26119589157931,0.12670677274575137,0.9503376699681414,13.62962962962963,0.0,1.7058823529411764,0.08121980676328502,0.07971014492753623,0.0
