feature,base_value,permuted_value,abs_diff
mf_pymfe_attr_conc.mean,0.13632810182805252,0.1333618249568689,0.002966276871183615
mf_pymfe_class_conc.mean,0.21689801058387803,0.21689801058388353,5.495603971894525e-15
mf_pymfe_eq_num_attr,14.401868079932798,14.401868079932802,3.552713678800501e-15
mf_pymfe_ns_ratio,6.087686850718567,6.087686850718566,8.881784197001252e-16
mf_pymfe_attr_ent.mean,0.5849545832028221,0.5849545832028219,2.220446049250313e-16
mf_pymfe_mut_inf.mean,0.0825310987241935,0.08253109872419347,2.7755575615628914e-17
mf_pymfe_attr_to_inst,0.06333333333333334,0.06333333333333334,0.0
mf_pymfe_class_ent,1.1886019963177448,1.1886019963177448,0.0
mf_pymfe_freq_class.mean,0.2,0.2,0.0
mf_pymfe_inst_to_attr,15.789473684210526,15.789473684210526,0.0
mf_pymfe_cat_to_num,1.375,1.375,0.0
mf_pymfe_joint_ent.mean,1.691025480796373,1.691025480796373,0.0
mf_pymfe_nr_attr,38.0,38.0,0.0
mf_pymfe_nr_cat,22.0,22.0,0.0
mf_pymfe_nr_bin,16.0,16.0,0.0
mf_pymfe_nr_class,5.0,5.0,0.0
mf_pymfe_nr_inst,600.0,600.0,0.0
mf_pymfe_nr_num,16.0,16.0,0.0
mf_pymfe_num_to_cat,0.7272727272727273,0.7272727272727273,0.0
