dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
1,1,600,38,random_forest,0.13632810182805252,0.5849545832028221,0.06333333333333334,1.375,0.21689801058387803,1.1886019963177448,14.401868079932798,0.2,15.789473684210526,1.691025480796373,0.0825310987241935,38.0,16.0,22.0,5.0,600.0,16.0,6.087686850718567,0.7272727272727273
4,labor,57,16,logreg,0.06687947561922669,1.2532559539148487,0.2807017543859649,1.0,0.09358141210937612,0.9348490242345946,5.917708914336476,0.5,3.5625,2.0301301541479124,0.1579748240015308,16.0,0.0,8.0,2.0,57.0,8.0,6.933263808559169,1.0
8,8,345,6,random_forest,0.0377606525669939,2.7241240939050093,0.017391304347826087,0.0,0.007461110427981477,0.9815886212101388,31.84067589066796,0.5,57.5,3.6748845811716144,0.03082813394353316,6.0,0.0,0.0,2.0,345.0,6.0,87.36487148053445,0.0
9,autos,205,25,random_forest,0.1857624966373581,1.9138751955488145,0.12195121951219512,0.6666666666666666,0.12418524948612272,2.2724740187830283,7.033769700013919,0.16666666666666666,8.2,3.8632686877148665,0.3230805266169763,25.0,3.0,10.0,6.0,205.0,15.0,4.923833341456023,1.5
10,lymph,148,18,logreg,0.04660992677257273,1.1277241395099897,0.12162162162162163,5.0,0.15438509549808035,1.2276775019465804,8.727663156622746,0.24999999999999997,8.222222222222221,2.2147365539165005,0.1406650875400698,18.0,9.0,15.0,4.0,148.0,3.0,7.017086252398961,0.2
11,balancescale,600,4,knn,0.0002720346219832741,2.321707608336351,0.006666666666666667,0.0,0.04400997728809836,1.3179436803371332,9.70987702509407,0.3333333333333333,150.0,3.5039190155529223,0.13573227312056146,4.0,0.0,0.0,3.0,600.0,4.0,16.105052136525707,0.0
13,breastcancer,286,9,random_forest,0.04572359176310521,1.5285459888009891,0.03146853146853147,8.0,0.02581437414512867,0.8778446951746506,25.27565803757724,0.5,31.77777777777778,2.3716598495154817,0.03473083446015774,9.0,2.0,8.0,2.0,286.0,1.0,43.01120826954202,0.125
15,breastw,600,9,knn,0.20350614744976211,1.8593191141025893,0.015,0.0,0.25279853744338526,0.9295231861792262,1.8667729975545484,0.5,66.66666666666667,2.2909118141451024,0.49793048613671353,9.0,0.0,0.0,2.0,600.0,9.0,2.734093745752471,0.0
17,17,105,12,random_forest,0.17209581854872924,1.8699788810395883,0.11428571428571428,2.0,0.25772717247592997,2.3176028118111756,4.233476902931691,0.16666666666666666,8.75,3.640135027863355,0.5474466649874082,12.0,0.0,8.0,6.0,105.0,4.0,2.415819294620417,0.5
18,18,600,6,logreg,0.26963048170198317,2.3053153406072537,0.01,0.0,0.49423022956999324,3.321928094887362,2.7359977084757165,0.1,100.0,4.413087413142506,1.2141560223521095,6.0,0.0,0.0,10.0,600.0,6.0,0.8986977770297664,0.0
